Order Date,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Payment Mode
24-01-2019,Gulfport,Mississippi,South,Office Supplies,Binders,XtraLife ClearVue Slant-D Ring Binders by Cardinal,31.36,4,15.68,COD
25-01-2019,Plainfield,New Jersey,East,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",9.21,3,2.3025,COD
25-01-2019,Plainfield,New Jersey,East,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",18,5,8.28,Cards
25-01-2019,New York City,New York,East,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",43.12,5,15.092,Online
25-01-2019,New York City,New York,East,Furniture,Tables,Chromcraft Round Conference Tables,313.722,3,-99.3453,COD
25-01-2019,New York City,New York,East,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,7.8166,Online
25-01-2019,New York City,New York,East,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",428.68,7,0,Online
28-01-2019,Los Angeles,California,West,Office Supplies,Art,Newell 345,39.68,2,10.3168,COD
30-01-2019,San Francisco,California,West,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,17.456,2,5.8914,COD
30-01-2019,San Francisco,California,West,Office Supplies,Storage,"File Shuttle II and Handi-File, Black",305.01,9,76.2525,Online
30-01-2019,San Francisco,California,West,Office Supplies,Binders,GBC Wire Binding Strips,50.784,2,17.7744,Online
30-01-2019,San Francisco,California,West,Office Supplies,Labels,Avery 512,26.01,9,12.2247,Online
30-01-2019,Seattle,Washington,West,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,435.168,4,-59.8356,COD
30-01-2019,Seattle,Washington,West,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,1,7.7728,Online
30-01-2019,Chicago,Illinois,Central,Office Supplies,Paper,Xerox 1943,156.512,4,52.8228,COD
30-01-2019,Rockford,Illinois,Central,Technology,Phones,Nokia Lumia 1020,1439.968,4,143.9968,Online
30-01-2019,Rockford,Illinois,Central,Office Supplies,Binders,Avery Durable Binders,1.728,3,-2.6784,Cards
30-01-2019,Rockford,Illinois,Central,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,626.1,3,-538.446,Online
31-01-2019,Los Angeles,California,West,Technology,Phones,AT&T 1080 Phone,109.592,1,8.2194,Cards
31-01-2019,Los Angeles,California,West,Office Supplies,Paper,Easy-staple paper,56.7,5,27.783,COD
31-01-2019,Dallas,Texas,Central,Office Supplies,Paper,Xerox 1994,15.552,3,5.4432,Cards
31-01-2019,Atlantic City,New Jersey,East,Office Supplies,Envelopes,Staple envelope,23.36,2,11.68,Cards
31-01-2019,Atlanta,Georgia,South,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,1,635.495,Online
31-01-2019,Atlanta,Georgia,South,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",125.36,8,58.9192,Cards
01-02-2019,Arlington,Virginia,South,Office Supplies,Storage,X-Rack File for Hanging Folders,56.45,5,14.677,COD
01-02-2019,Los Angeles,California,West,Office Supplies,Paper,Xerox 1883,1105.52,4,48.5392,Online
02-02-2019,New York City,New York,East,Office Supplies,Storage,"Belkin 19"" Center-Weighted Shelf, Gray",117.96,2,5.898,COD
02-02-2019,Arlington,Virginia,South,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",4749.95,5,2799.984,COD
02-02-2019,Arlington,Virginia,South,Office Supplies,Binders,Presstex Flexible Ring Binders,36.4,8,18.2,COD
02-02-2019,Arlington,Virginia,South,Furniture,Furnishings,Acrylic Self-Standing Desk Frames,18.69,7,7.1022,Online
02-02-2019,Houston,Texas,Central,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",73.784,2,-77.4732,COD
03-02-2019,Richmond,Kentucky,South,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,866.4,4,225.264,COD
04-02-2019,Sierra Vista,Arizona,West,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,14.368,2,3.9512,COD
04-02-2019,Rockville,Maryland,East,Technology,Phones,AT&T 17929 Lendline Telephone,90.48,2,23.5248,COD
04-02-2019,Los Angeles,California,West,Office Supplies,Storage,Safco Commercial Shelving,93.02,2,3.7208,COD
05-02-2019,Smyrna,Georgia,South,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",80.98,1,1.6196,COD
05-02-2019,Smyrna,Georgia,South,Office Supplies,Paper,White Computer Printout Paper by Universal,348.84,9,170.9316,Online
05-02-2019,Smyrna,Georgia,South,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,9.45,5,0.189,Online
05-02-2019,Smyrna,Georgia,South,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Black",18.84,3,7.1592,Online
05-02-2019,Smyrna,Georgia,South,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",239.98,2,52.7956,COD
05-02-2019,Smyrna,Georgia,South,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,167.96,2,78.9412,COD
05-02-2019,Smyrna,Georgia,South,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,104.85,3,28.3095,COD
05-02-2019,Smyrna,Georgia,South,Technology,Phones,Aastra 57i VoIP phone,484.83,3,126.0558,COD
05-02-2019,Smyrna,Georgia,South,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",122.97,3,60.2553,Online
05-02-2019,Smyrna,Georgia,South,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",154.44,3,1.5444,COD
05-02-2019,Smyrna,Georgia,South,Office Supplies,Paper,Xerox 1943,342.37,7,160.9139,COD
05-02-2019,San Diego,California,West,Office Supplies,Labels,Avery 508,14.73,3,7.2177,COD
05-02-2019,San Diego,California,West,Office Supplies,Storage,"Fellowes Mobile File Cart, Black",186.54,3,50.3658,Online
05-02-2019,San Diego,California,West,Furniture,Tables,Chromcraft Round Conference Tables,557.728,4,6.9716,COD
05-02-2019,San Diego,California,West,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,159.968,4,-31.9936,COD
06-02-2019,Chattanooga,Tennessee,South,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",132.224,4,-18.1808,COD
07-02-2019,Springfield,Virginia,South,Technology,Accessories,Micro Innovations USB RF Wireless Keyboard with Mouse,100,4,21,COD
07-02-2019,Springfield,Virginia,South,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,7.83,3,3.6018,COD
07-02-2019,Lancaster,Ohio,East,Office Supplies,Paper,Xerox 1912,30.352,2,10.6232,Online
07-02-2019,Los Angeles,California,West,Technology,Phones,Motorola L703CM,623.96,5,38.9975,COD
08-02-2019,Raleigh,North Carolina,South,Technology,Phones,Samsung Galaxy S4 Mini,1127.976,3,126.8973,COD
08-02-2019,Houston,Texas,Central,Furniture,Chairs,Harbour Creations Steel Folding Chair,241.5,4,0,COD
09-02-2019,San Francisco,California,West,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,89.97,3,39.5868,COD
09-02-2019,San Francisco,California,West,Technology,Accessories,Maxell 4.7GB DVD+RW 3/Pack,31.86,2,11.151,COD
11-02-2019,Tulsa,Oklahoma,Central,Technology,Phones,Mediabridge Sport Armband iPhone 5s,69.93,7,0.6993,Online
12-02-2019,Atlanta,Georgia,South,Office Supplies,Storage,Tennsco Double-Tier Lockers,1350.12,6,175.5156,Online
12-02-2019,Atlanta,Georgia,South,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,7.4824,COD
13-02-2019,Los Angeles,California,West,Office Supplies,Paper,Tops Green Bar Computer Printout Paper,146.82,3,73.41,Online
14-02-2019,Clinton,Maryland,East,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",4.77,1,2.1465,COD
14-02-2019,Clinton,Maryland,East,Office Supplies,Art,Economy #2 Pencils,7.98,3,2.0748,COD
14-02-2019,Clinton,Maryland,East,Furniture,Tables,Bevis Boat-Shaped Conference Table,550.431,3,-47.1798,Online
14-02-2019,Clinton,Maryland,East,Furniture,Furnishings,Regeneration Desk Collection,10.56,6,4.6464,Online
14-02-2019,Jackson,Mississippi,South,Office Supplies,Art,Panasonic KP-150 Electric Pencil Sharpener,264.18,7,68.6868,COD
15-02-2019,New York City,New York,East,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,398.352,3,124.485,COD
15-02-2019,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,8.72,4,3.5752,Online
16-02-2019,Chicago,Illinois,Central,Office Supplies,Appliances,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,92.064,6,-225.5568,Online
16-02-2019,Chicago,Illinois,Central,Office Supplies,Fasteners,Advantus Push Pins,6.976,4,1.8312,Online
16-02-2019,Chicago,Illinois,Central,Furniture,Chairs,"Global Stack Chair with Arms, Black",62.958,3,-2.6982,Online
16-02-2019,Chicago,Illinois,Central,Office Supplies,Paper,Xerox 206,5.184,1,1.8144,Online
16-02-2019,Belleville,New Jersey,East,Furniture,Chairs,Hon Comfortask Task/Swivel Chairs,227.96,2,36.4736,Online
16-02-2019,Henderson,Kentucky,South,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,318.08,4,34.9888,COD
16-02-2019,Henderson,Kentucky,South,Office Supplies,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,5.8,1,2.61,COD
16-02-2019,New York City,New York,East,Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,326.646,3,39.9234,Online
16-02-2019,New York City,New York,East,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,89.97,3,39.5868,Online
19-02-2019,New York City,New York,East,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock",44.46,2,14.6718,COD
19-02-2019,New York City,New York,East,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,242.94,3,9.7176,COD
19-02-2019,Long Beach,New York,East,Office Supplies,Labels,Staple-on labels,8.67,3,4.0749,Online
19-02-2019,Long Beach,New York,East,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,25.71,3,6.6846,COD
19-02-2019,San Francisco,California,West,Office Supplies,Paper,Xerox 1880,70.88,2,33.3136,COD
20-02-2019,Nashville,Tennessee,South,Office Supplies,Paper,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",16.496,2,5.5674,COD
21-02-2019,Los Angeles,California,West,Technology,Accessories,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,12.99,1,0.7794,COD
21-02-2019,Los Angeles,California,West,Office Supplies,Binders,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",18.56,4,6.496,Online
21-02-2019,Los Angeles,California,West,Office Supplies,Storage,Fellowes Officeware Wire Shelving,449.15,5,8.983,COD
21-02-2019,Los Angeles,California,West,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,31.248,7,10.9368,COD
21-02-2019,Oceanside,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,68.95,5,28.959,COD
21-02-2019,Oceanside,New York,East,Office Supplies,Storage,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",296.37,3,80.0199,COD
21-02-2019,Oceanside,New York,East,Technology,Phones,iOttie HLCRIO102 Car Mount,39.98,2,1.999,COD
21-02-2019,Tampa,Florida,South,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,3.762,3,-2.7588,COD
21-02-2019,Tampa,Florida,South,Office Supplies,Binders,Avery Arch Ring Binders,34.86,2,-26.726,Online
21-02-2019,Tampa,Florida,South,Office Supplies,Storage,Standard Rollaway File with Lock,432.456,3,32.4342,COD
21-02-2019,New York City,New York,East,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",135.8,7,66.542,COD
22-02-2019,Milwaukee,Wisconsin,Central,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,490.32,9,137.2896,Online
22-02-2019,Los Angeles,California,West,Technology,Phones,AT&T 1070 Corded Phone,445.96,5,55.745,COD
22-02-2019,Los Angeles,California,West,Technology,Accessories,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,36.24,1,15.2208,COD
22-02-2019,Los Angeles,California,West,Office Supplies,Fasteners,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",10.65,3,5.0055,COD
23-02-2019,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",57.576,3,21.591,COD
25-02-2019,Newark,Ohio,East,Office Supplies,Envelopes,Staple envelope,46.72,5,17.52,Online
27-02-2019,New York City,New York,East,Office Supplies,Appliances,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",170.88,3,49.5552,COD
27-02-2019,La Crosse,Wisconsin,Central,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,56.82,3,28.41,Online
27-02-2019,Houston,Texas,Central,Furniture,Furnishings,DAX Two-Tone Silver Metal Document Frame,16.192,2,-6.8816,Online
28-02-2019,Newark,Ohio,East,Office Supplies,Art,Newell 34,111.104,7,8.3328,COD
28-02-2019,New York City,New York,East,Office Supplies,Fasteners,Staples,36.48,6,18.24,Online
01-03-2019,Yonkers,New York,East,Furniture,Tables,Chromcraft Round Conference Tables,836.592,8,-264.9208,COD
01-03-2019,Yonkers,New York,East,Office Supplies,Paper,Easy-staple paper,26.38,1,12.1348,COD
01-03-2019,Yonkers,New York,East,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,362.92,2,105.2468,COD
01-03-2019,Yonkers,New York,East,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899.93,7,2400.9657,COD
01-03-2019,Denver,Colorado,West,Technology,Phones,RCA ViSYS 25423RE1 Corded phone,159.984,2,13.9986,COD
03-03-2019,Newark,Delaware,East,Office Supplies,Binders,GBC ProClick Punch Binding System,447.86,7,219.4514,COD
03-03-2019,Newark,Delaware,East,Technology,Phones,Pyle PMP37LED,479.95,5,129.5865,COD
03-03-2019,Newark,Delaware,East,Office Supplies,Paper,Xerox 194,166.44,3,79.8912,COD
03-03-2019,Odessa,Texas,Central,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",42.784,7,15.5092,COD
03-03-2019,Odessa,Texas,Central,Furniture,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,563.43,5,-56.343,COD
03-03-2019,Bloomington,Indiana,Central,Technology,Phones,Plantronics Encore H101 Dual Earpieces Headset,134.85,3,37.758,COD
03-03-2019,San Antonio,Texas,Central,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.896,3,-127.5792,Online
03-03-2019,San Antonio,Texas,Central,Technology,Machines,Canon PC170 Desktop Personal Copier,287.91,3,33.5895,COD
03-03-2019,San Antonio,Texas,Central,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",36.6,3,11.895,COD
03-03-2019,San Francisco,California,West,Office Supplies,Supplies,"Elite 5"" Scissors",25.35,3,7.605,COD
03-03-2019,San Francisco,California,West,Furniture,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",35.28,3,11.9952,Online
03-03-2019,Round Rock,Texas,Central,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,3930.072,3,-786.0144,Online
03-03-2019,Round Rock,Texas,Central,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long",2.304,1,0.7776,Online
03-03-2019,Round Rock,Texas,Central,Technology,Phones,Polycom VVX 310 VoIP phone,431.976,3,32.3982,COD
03-03-2019,Round Rock,Texas,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",41.72,7,5.7365,Cards
04-03-2019,San Diego,California,West,Office Supplies,Art,Berol Giant Pencil Sharpener,16.99,1,4.9271,Online
04-03-2019,Miami,Florida,South,Office Supplies,Labels,Avery 518,10.08,4,3.528,Cards
04-03-2019,Mishawaka,Indiana,Central,Office Supplies,Binders,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",128.4,3,64.2,COD
04-03-2019,Dover,New Hampshire,East,Technology,Accessories,Logitech G602 Wireless Gaming Mouse,159.98,2,57.5928,Online
05-03-2019,Dallas,Texas,Central,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,149.352,3,50.4063,COD
05-03-2019,Dallas,Texas,Central,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,12.992,1,-0.812,COD
06-03-2019,Philadelphia,Pennsylvania,East,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,431.94,2,-71.99,Online
06-03-2019,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,2.043,1,-1.4982,COD
06-03-2019,Philadelphia,Pennsylvania,East,Technology,Phones,Grandstream GXP1160 VoIP phone,68.238,3,-12.5103,Cards
06-03-2019,Chicago,Illinois,Central,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",2.334,3,-6.3018,Cards
06-03-2019,Chicago,Illinois,Central,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,1.728,4,-2.7648,COD
06-03-2019,Chicago,Illinois,Central,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,159.04,5,-194.824,Online
06-03-2019,Chicago,Illinois,Central,Furniture,Tables,Bevis Rectangular Conference Tables,145.98,2,-99.2664,COD
07-03-2019,Fort Worth,Texas,Central,Technology,Phones,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,21.072,3,1.5804,COD
08-03-2019,Miami,Florida,South,Technology,Phones,Cisco Unified IP Phone 7945G VoIP phone,1363.96,5,85.2475,Cards
08-03-2019,Miami,Florida,South,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.8385,Cards
08-03-2019,Glendale,Arizona,West,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",9.702,3,-7.1148,Cards
08-03-2019,Philadelphia,Pennsylvania,East,Technology,Phones,AT&T 17929 Lendline Telephone,108.576,4,-25.3344,COD
08-03-2019,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,Rubber Band Ball,5.984,2,-1.3464,Cards
08-03-2019,New York City,New York,East,Furniture,Furnishings,Coloredge Poster Frame,113.6,8,44.304,Cards
08-03-2019,New York City,New York,East,Office Supplies,Paper,Xerox 1993,12.96,2,6.3504,Cards
08-03-2019,New York City,New York,East,Office Supplies,Binders,Satellite Sectional Post Binders,69.456,2,22.5732,Cards
08-03-2019,Dallas,Texas,Central,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,8.856,9,-14.1696,Cards
08-03-2019,Dallas,Texas,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",27.96,5,8.388,Cards
